subid,condition,trial_num_full,m_correct,m_gaze_follow,rt,shift_start,shift_end,shift_correct,shift_type
021016_01,no-gaze,6_test,1,0,NA,right,NA,NA,no_shift
021016_01,no-gaze,7_exposure,0.10465116279069768,0,0.36666666666666664,face,right,FALSE,face_distracter
021016_01,no-gaze,7_test,0.27522935779816515,0,0.23333333333333334,right,left,FALSE,target_distracter
021016_01,no-gaze,8_exposure,0.21487603305785125,0,0.3,face,left,FALSE,face_distracter
021016_01,no-gaze,8_test,0.3130434782608696,0,0.7333333333333333,left,right,FALSE,image_away
021016_02,gaze,1_exposure,0.11304347826086956,0.8782608695652174,0.6666666666666666,left,right,FALSE,image_away
021016_02,gaze,1_test,0.8198198198198198,0,0.26666666666666666,right,left,TRUE,distracter_target
021016_02,gaze,10_exposure,0.4224137931034483,0.4224137931034483,0.5333333333333333,left,face,FALSE,image_away
021016_02,gaze,10_test,0.7377049180327869,0,0.5666666666666667,left,right,FALSE,image_away
021016_02,gaze,12_exposure,0.09917355371900827,0.7768595041322314,0.43333333333333335,left,right,FALSE,image_away
021016_02,gaze,12_test,0.1574074074074074,0,0.5666666666666667,left,right,TRUE,image_away
021016_02,gaze,13_exposure,0.075,0.7166666666666667,0.36666666666666664,face,left,TRUE,face_target
021016_02,gaze,13_test,0.7456140350877193,0,0.43333333333333335,left,right,FALSE,image_away
021016_02,gaze,15_exposure,1,1,NA,left,NA,NA,no_shift
021016_02,gaze,15_test,0.9819819819819819,0,3.9,left,face,FALSE,image_away
021016_02,gaze,16_exposure,0.9435483870967742,0.056451612903225805,0.26666666666666666,right,left,TRUE,distracter_target
021016_02,gaze,16_test,1,0,NA,left,NA,NA,no_shift
021016_02,gaze,2_exposure,0.05511811023622047,0.937007874015748,0.2,right,face,FALSE,image_face
021016_02,gaze,2_test,0.5818181818181818,0,0.4,left,right,TRUE,image_away
021016_02,gaze,3_exposure,0.8235294117647058,0.8235294117647058,0.4,left,face,FALSE,image_away
021016_02,gaze,3_test,0.9210526315789473,0,0.2,right,left,FALSE,target_distracter
021016_02,gaze,5_exposure,0.07339449541284404,0.9174311926605505,0.3333333333333333,left,face,FALSE,image_away
021016_02,gaze,5_test,0.79,0,0.23333333333333334,left,right,FALSE,image_away
021016_02,gaze,7_exposure,0.07407407407407407,0.8148148148148148,0.5666666666666667,left,right,FALSE,image_away
021016_02,gaze,7_test,0.37719298245614036,0,0.2,face,left,FALSE,face_distracter
021016_02,gaze,8_exposure,0.5752212389380531,0.5752212389380531,0.36666666666666664,left,face,FALSE,image_away
021016_02,gaze,8_test,0.8245614035087719,0,1.7666666666666666,right,face,FALSE,image_face
021016_02,gaze,9_exposure,0.6752136752136753,0.6752136752136753,0.43333333333333335,left,face,FALSE,image_away
021016_02,gaze,9_test,0.9262295081967213,0,0.06666666666666667,right,face,FALSE,image_face
021216_01,gaze,1_exposure,0,0,NA,face,NA,NA,no_shift
021216_01,gaze,1_test,0,0,NA,face,NA,NA,no_shift
021216_01,gaze,10_exposure,0.48484848484848486,0.48484848484848486,0.23333333333333334,face,left,FALSE,face_distracter
021216_01,gaze,10_test,0.034482758620689655,0,2.066666666666667,left,face,FALSE,image_away
021216_01,gaze,12_exposure,0,0.2753623188405797,0.6,face,right,FALSE,face_distracter
021216_01,gaze,12_test,0,0,NA,face,NA,NA,no_shift
021216_01,gaze,13_exposure,0.014084507042253521,0.30985915492957744,1.0666666666666667,face,right,FALSE,face_distracter
021216_01,gaze,13_test,0.02247191011235955,0,3.1,face,right,FALSE,face_distracter
021216_01,gaze,15_exposure,0.2857142857142857,0.2857142857142857,1.4333333333333333,face,left,TRUE,face_target
021216_01,gaze,15_test,0.22,0,0.2,face,left,TRUE,face_target
021216_01,gaze,16_exposure,0.30851063829787234,0,0.9333333333333333,face,left,TRUE,face_target
021216_01,gaze,16_test,0.19230769230769232,0,0.6666666666666666,face,right,FALSE,face_distracter
021216_01,gaze,2_exposure,0,0.8,1.1666666666666667,face,left,FALSE,face_distracter
021216_01,gaze,2_test,0,0,NA,face,NA,NA,no_shift
021216_01,gaze,3_exposure,0,0,NA,face,NA,NA,no_shift
021216_01,gaze,3_test,0,0,NA,face,NA,NA,no_shift
021216_01,gaze,5_exposure,0.14814814814814814,0.3425925925925926,0.6,face,left,FALSE,face_distracter
021216_01,gaze,5_test,0,0,0.4666666666666667,face,right,FALSE,face_distracter
021216_01,gaze,7_exposure,0,0.3875,1.1333333333333333,face,right,FALSE,face_distracter
021216_01,gaze,7_test,0.043478260869565216,0,0.8333333333333334,left,right,TRUE,image_away
021216_01,gaze,8_exposure,0.029850746268656716,0.029850746268656716,1.2333333333333334,face,right,TRUE,face_target
021216_01,gaze,8_test,0.1308411214953271,0,0.4666666666666667,face,right,TRUE,face_target
021216_01,gaze,9_exposure,0.4891304347826087,0.4891304347826087,0.3333333333333333,face,left,FALSE,face_distracter
021216_01,gaze,9_test,0.07865168539325842,0,0.6,face,left,TRUE,face_target
021216_02,no-gaze,1_exposure,0.5648148148148148,0,0.5,left,right,FALSE,image_away
021216_02,no-gaze,1_test,0.6779661016949152,0,0.43333333333333335,left,right,FALSE,image_away
021216_02,no-gaze,10_exposure,0.06837606837606838,0,0.43333333333333335,right,left,FALSE,target_distracter
021216_02,no-gaze,10_test,0.9322033898305084,0,0.6,left,right,FALSE,image_away
021216_02,no-gaze,11_exposure,0.2,0,0.36666666666666664,left,right,FALSE,image_away
021216_02,no-gaze,11_test,0.06862745098039216,0,0.26666666666666666,right,left,FALSE,target_distracter
021216_02,no-gaze,14_exposure,0.06779661016949153,0,0.43333333333333335,left,right,FALSE,image_away
021216_02,no-gaze,14_test,0.10588235294117647,0,0.43333333333333335,right,left,TRUE,distracter_target
021216_02,no-gaze,15_exposure,0.05084745762711865,0,0.36666666666666664,left,right,FALSE,image_away
021216_02,no-gaze,15_test,0.925,0,0.26666666666666666,right,face,FALSE,image_face
021216_02,no-gaze,16_exposure,0.13793103448275862,0,0.43333333333333335,left,right,TRUE,image_away
021216_02,no-gaze,16_test,0.8596491228070176,0,0.5333333333333333,left,right,FALSE,image_away
021216_02,no-gaze,2_exposure,0.08411214953271028,0,0.4666666666666667,left,right,FALSE,image_away
021216_02,no-gaze,2_test,0.11926605504587157,0,0.23333333333333334,right,left,TRUE,distracter_target
021216_02,no-gaze,3_exposure,0.8130081300813008,0,0.7666666666666667,left,right,TRUE,image_away
021216_02,no-gaze,3_test,0.8991596638655462,0,0.5,left,right,TRUE,image_away
021216_02,no-gaze,4_exposure,0.8205128205128205,0,0.4666666666666667,left,right,TRUE,image_away
021216_02,no-gaze,4_test,0.9098360655737705,0,0.26666666666666666,right,left,FALSE,target_distracter
021216_02,no-gaze,5_exposure,0.2222222222222222,0,0.4666666666666667,face,left,TRUE,face_target
021216_02,no-gaze,5_test,0.9137931034482759,0,0.5666666666666667,left,right,TRUE,image_away
021216_02,no-gaze,6_exposure,0.0784313725490196,0,0.6666666666666666,left,right,TRUE,image_away
021216_02,no-gaze,6_test,0.7528089887640449,0,0.43333333333333335,left,right,TRUE,image_away
021216_02,no-gaze,7_exposure,0.8556701030927835,0,0.5666666666666667,left,right,FALSE,image_away
